Segment Number,Wavenumber (cm-1),Wavenumber + Noise (cm-1),Alpha (ppm/cm),Alpha + Noise (ppm/cm),Pressure (Torr),Temperature (C)
0,13155.0,13154.999973303566,2.264963624674566e-06,-8.45973876373588e-06,40.00000000000001,25.0
0,13155.005,13155.005062253269,2.734346504314722e-06,-2.7563541271168526e-06,40.00000000000001,25.0
0,13155.009999999998,13155.010038348664,3.4732375300358045e-06,-2.2288369707771613e-05,40.00000000000001,25.0
0,13155.014999999998,13155.015063966133,4.782206465604873e-06,-2.674660136803317e-05,40.00000000000001,25.0
0,13155.019999999997,13155.019947575174,7.361442489970544e-06,-2.5413433076784096e-05,40.00000000000001,25.0
0,13155.024999999996,13155.024954906394,1.2686067381402694e-05,-4.667115174157986e-05,40.00000000000001,25.0
0,13155.029999999995,13155.029903666053,2.3329896441739866e-05,-8.814112669886039e-06,40.00000000000001,25.0
0,13155.034999999994,13155.03500222462,4.257280393610203e-05,5.4678875694588586e-05,40.00000000000001,25.0
0,13155.039999999994,13155.040024249667,7.240873433037468e-05,3.630643592725417e-05,40.00000000000001,25.0
0,13155.044999999993,13155.04493189209,0.00011016239249164802,0.00010798869303397805,40.00000000000001,25.0
0,13155.049999999992,13155.050010712877,0.0001464005098308296,0.00012501862744343154,40.00000000000001,25.0
0,13155.054999999991,13155.054956413038,0.0001678388426294035,0.00016116709004742168,40.00000000000001,25.0
0,13155.05999999999,13155.060074794423,0.00016515235917155205,0.00013995227885881133,40.00000000000001,25.0
0,13155.06499999999,13155.065015403208,0.00013959839216654097,0.00020160762489232525,40.00000000000001,25.0
0,13155.069999999989,13155.06995548317,0.00010207925215668648,0.0001086611003708268,40.00000000000001,25.0
0,13155.074999999988,13155.075175428025,6.561331266123804e-05,2.054897640387142e-05,40.00000000000001,25.0
0,13155.079999999987,13155.07998165206,3.820556091503643e-05,2.3774326173689013e-05,40.00000000000001,25.0
0,13155.084999999986,13155.08501437677,2.124309795878356e-05,2.776779698809722e-05,40.00000000000001,25.0
0,13155.089999999986,13155.089982149068,1.2196386958634313e-05,2.6042956270014955e-05,40.00000000000001,25.0
0,13155.094999999985,13155.094993043002,7.837983585632154e-06,-1.244908272865934e-05,40.00000000000001,25.0
0,13155.099999999984,13155.100012445762,5.841451291626374e-06,-2.4017867108197792e-05,40.00000000000001,25.0
0,13155.104999999983,13155.105001298192,4.940179768280901e-06,-6.374628212666535e-05,40.00000000000001,25.0
0,13155.109999999982,13155.109963516996,4.554621122395809e-06,-3.209761677400078e-06,40.00000000000001,25.0
0,13155.114999999982,13155.11495994101,4.444744141465704e-06,1.1801532871795162e-05,40.00000000000001,25.0
0,13155.11999999998,13155.11997340755,4.5162315045394405e-06,4.921690431075854e-05,40.00000000000001,25.0
0,13155.12499999998,13155.124941006039,4.73627754652397e-06,4.618799395195418e-05,40.00000000000001,25.0
0,13155.12999999998,13155.129942087216,5.1023989678658775e-06,1.6039849294257747e-05,40.00000000000001,25.0
0,13155.134999999978,13155.134974751802,5.633413799178192e-06,1.331291307548752e-05,40.00000000000001,25.0
0,13155.139999999978,13155.140046917437,6.371062622677975e-06,5.4528024074303197e-05,40.00000000000001,25.0
0,13155.144999999977,13155.14499387118,7.391209541154859e-06,2.2224782368223293e-05,40.00000000000001,25.0
0,13155.149999999976,13155.149974649079,8.832807608975246e-06,-4.4733546533469455e-06,40.00000000000001,25.0
0,13155.154999999975,13155.154997857018,1.0972182540496922e-05,-1.949013089393357e-06,40.00000000000001,25.0
0,13155.159999999974,13155.160050948341,1.4420598969298502e-05,-1.3132193965467088e-05,40.00000000000001,25.0
0,13155.164999999974,13155.165021567129,2.0632608861306657e-05,1.2997637794049104e-05,40.00000000000001,25.0
0,13155.169999999973,13155.170038809338,3.305032357094663e-05,-1.5551669683245843e-05,40.00000000000001,25.0
0,13155.174999999972,13155.174957571828,5.9075040666545976e-05,5.411122019901295e-05,40.00000000000001,25.0
0,13155.179999999971,13155.180039679404,0.00011188235252284482,0.00016430209515935643,40.00000000000001,25.0
0,13155.18499999997,13155.185031911202,0.00020876459857611932,0.00019473086472954725,40.00000000000001,25.0
0,13155.18999999997,13155.190052164977,0.00036061710855396154,0.00034553234946861953,40.00000000000001,25.0
0,13155.194999999969,13155.194977611929,0.0005538865941616401,0.0005476576430053059,40.00000000000001,25.0
0,13155.199999999968,13155.200007492342,0.0007390078371636153,0.0007331869912671808,40.00000000000001,25.0
0,13155.204999999967,13155.205053085572,0.000846031195504464,0.000789934487644051,40.00000000000001,25.0
0,13155.209999999966,13155.20996507159,0.0008269235381076525,0.0007972865644666043,40.00000000000001,25.0
0,13155.214999999966,13155.215070365237,0.0006906122791240373,0.0006713281363265157,40.00000000000001,25.0
0,13155.219999999965,13155.219935476598,0.0004962048796402558,0.0004552437560609594,40.00000000000001,25.0
0,13155.224999999964,13155.224978661956,0.00031133924653886224,0.000340102114373834,40.00000000000001,25.0
0,13155.229999999963,13155.229917014598,0.00017533186187418384,0.00014157134467694048,40.00000000000001,25.0
0,13155.234999999962,13155.235039976771,9.279869570138321e-05,0.00011036974585623607,40.00000000000001,25.0
0,13155.239999999962,13155.239921379381,4.934202164278315e-05,-8.85615499421575e-06,40.00000000000001,25.0
0,13155.24499999996,13155.245025406814,2.828066323380635e-05,8.395221559864897e-05,40.00000000000001,25.0
0,13155.24999999996,13155.25014387902,1.815199223268911e-05,-4.6657525292443485e-05,40.00000000000001,25.0
0,13155.25499999996,13155.255082650114,1.29274842002653e-05,1.4079684833744713e-05,40.00000000000001,25.0
0,13155.259999999958,13155.260005759208,9.903529288901278e-06,-3.853399202385257e-05,40.00000000000001,25.0
0,13155.264999999958,13155.26509119097,7.948713726295168e-06,7.141356448912024e-05,40.00000000000001,25.0
0,13155.269999999957,13155.27004963111,6.579024552353701e-06,-2.3977917498603423e-05,40.00000000000001,25.0
0,13155.274999999956,13155.275019547415,5.566974801474128e-06,-3.738746191042693e-05,40.00000000000001,25.0
0,13155.279999999955,13155.279989090854,4.791360701586345e-06,7.349298770062766e-05,40.00000000000001,25.0
0,13155.284999999954,13155.285024679739,4.181251052690417e-06,1.5379608777970488e-05,40.00000000000001,25.0
0,13155.289999999954,13155.289961690982,3.691396137741676e-06,3.952241769852965e-05,40.00000000000001,25.0
0,13155.294999999953,13155.295022840128,3.2918619628455134e-06,-6.696541028684098e-05,40.00000000000001,25.0
0,13155.299999999952,13155.300019691718,2.9615218753753108e-06,-4.2247239947604535e-05,40.00000000000001,25.0
0,13155.304999999951,13155.304934611831,2.6854235343196984e-06,-3.326150706435343e-05,40.00000000000001,25.0
0,13155.30999999995,13155.31001281264,2.4523346306994047e-06,-3.7409634128401855e-05,40.00000000000001,25.0
0,13155.31499999995,13155.315006136789,2.2540575700415747e-06,-7.155744226036903e-07,40.00000000000001,25.0
0,13155.319999999949,13155.319949259087,2.08427485795708e-06,3.401727139231619e-05,40.00000000000001,25.0
0,13155.324999999948,13155.324972433622,1.938097284118839e-06,-4.067592350128335e-05,40.00000000000001,25.0
